complete,volume,time,mid
True,67025,2021-08-25T21:00:00.000000000Z,"{'o': '1.17728', 'h': '1.17791', 'l': '1.17460', 'c': '1.17522'}"
True,82778,2021-08-26T21:00:00.000000000Z,"{'o': '1.17518', 'h': '1.18025', 'l': '1.17350', 'c': '1.17944'}"
True,45289,2021-08-29T21:00:00.000000000Z,"{'o': '1.17960', 'h': '1.18099', 'l': '1.17828', 'c': '1.17969'}"
True,80680,2021-08-30T21:00:00.000000000Z,"{'o': '1.17972', 'h': '1.18452', 'l': '1.17954', 'c': '1.18088'}"
True,72453,2021-08-31T21:00:00.000000000Z,"{'o': '1.18098', 'h': '1.18573', 'l': '1.17937', 'c': '1.18400'}"
True,54191,2021-09-01T21:00:00.000000000Z,"{'o': '1.18416', 'h': '1.18761', 'l': '1.18344', 'c': '1.18750'}"
True,79226,2021-09-02T21:00:00.000000000Z,"{'o': '1.18754', 'h': '1.19092', 'l': '1.18660', 'c': '1.18791'}"
True,31814,2021-09-05T21:00:00.000000000Z,"{'o': '1.18802', 'h': '1.18864', 'l': '1.18560', 'c': '1.18709'}"
True,69165,2021-09-06T21:00:00.000000000Z,"{'o': '1.18705', 'h': '1.18853', 'l': '1.18374', 'c': '1.18422'}"
True,75039,2021-09-07T21:00:00.000000000Z,"{'o': '1.18408', 'h': '1.18511', 'l': '1.18020', 'c': '1.18158'}"
True,77555,2021-09-08T21:00:00.000000000Z,"{'o': '1.18166', 'h': '1.18414', 'l': '1.18052', 'c': '1.18238'}"
True,67414,2021-09-09T21:00:00.000000000Z,"{'o': '1.18252', 'h': '1.18512', 'l': '1.18095', 'c': '1.18107'}"
True,64456,2021-09-12T21:00:00.000000000Z,"{'o': '1.18156', 'h': '1.18171', 'l': '1.17701', 'c': '1.18103'}"
True,76763,2021-09-13T21:00:00.000000000Z,"{'o': '1.18110', 'h': '1.18459', 'l': '1.18002', 'c': '1.18040'}"
True,72649,2021-09-14T21:00:00.000000000Z,"{'o': '1.18080', 'h': '1.18320', 'l': '1.17993', 'c': '1.18158'}"
